No;Independen_1;Independen_2;Dependen
1;Before;Feral;2
2;Before;Feral;0
3;Before;Feral;0
4;Before;Feral;1
5;Before;Feral;4
6;Before;Feral;2
7;Before;Feral;3
8;Before;Feral;0
9;Before;Feral;1
10;Before;Feral;0
11;Before;Feral;4
12;Before;Feral;0
13;Before;Feral;0
14;Before;Feral;2
15;Before;Feral;30
16;Before;Feral;13
17;Before;Feral;0
18;Before;Feral;2
19;Before;Feral;0
20;Before;Feral;1
21;Before;Reference;0
22;Before;Reference;3
23;Before;Reference;1
24;Before;Reference;19
25;Before;Reference;8
26;Before;Reference;37
27;Before;Reference;7
28;Before;Reference;10
29;Before;Reference;11
30;Before;Reference;1
31;Before;Reference;30
32;After;Feral;6
33;After;Feral;2
34;After;Feral;0
35;After;Feral;11
36;After;Feral;7
37;After;Feral;4
38;After;Feral;3
39;After;Feral;0
40;After;Feral;3
41;After;Feral;7
42;After;Feral;17
43;After;Feral;7
44;After;Feral;0
45;After;Feral;7
46;After;Feral;4
47;After;Feral;14
48;After;Feral;6
49;After;Feral;8
50;After;Feral;18
51;After;Feral;4
52;After;Reference;1
53;After;Reference;10
54;After;Reference;10
55;After;Reference;29
56;After;Reference;21
57;After;Reference;5
58;After;Reference;5
59;After;Reference;4
60;After;Reference;4
61;After;Reference;6
62;After;Reference;15
